edge_id,node1,node2,weight,community1,community2,inter_community
af0dc4bf-7246-4a93-b334-695634c3a1ea,f542dc94-1122-46ac-8d41-9ef7b7aa501b,84276296-4ffb-45d2-adc9-a326ca16542b,0.04064533846052932,1,1,False
4f0e72e3-e88c-41b7-86d8-6d26e485b420,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,5cef79b0-1985-4daa-a0cf-916f9396114e,1.0,0,0,False
0b07ed4e-c90d-4fec-827b-6b04eba37473,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,3ee49f4c-2ad3-483c-8045-5925566a1262,1.0,0,0,False
e2803175-5cf8-4f1f-a33a-f1a0a6f1b645,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,af78e9fd-1dc7-4fbd-ba80-d21ca2b7047b,1.0,0,0,False
a248fde0-a057-4270-bc00-c815d5e4dbb4,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,eea9fdf2-45e3-411a-8e3d-fde79709b4b9,1.0,0,0,False
c0b4a07f-78c3-4d7a-a8ad-b4be29c119a8,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,852b1725-8b1c-4f04-97f7-cc4b2768bac3,1.0,0,0,False
9ee6aed8-8049-4630-b42c-a991d3e05d5d,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,d7f9bfbb-6a86-49cd-8ce4-eaf120daa7ee,1.0,0,0,False
f03c8f27-737a-428a-b299-2ac47bc35408,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,800506ef-6498-4f3e-a7d8-7e4bfdd0d254,1.0,0,0,False
1f624817-658e-4a96-8269-710b8cdaad54,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,e838941b-a413-48cc-971a-85a6a9717b55,1.0,0,0,False
fd2fbcf9-aa56-46d9-aefb-bbc933e5a793,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,2d79725e-b732-40e0-92cf-d30be17979b4,1.0,0,0,False
33bb1bed-b95c-4b4c-b0cf-13938491ca4a,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,06c72667-c7ec-4e4f-bb64-da4184ce672f,1.0,0,0,False
a5e3e359-c8a7-4045-bd5d-a6b0e9c12060,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,0b4096f5-b68e-467f-a97c-17931430048a,1.0,0,0,False
0d3b95e4-ebd7-42f7-98c5-1999cbc5b567,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,0cfc920c-9eae-4826-be1c-b3ba5e829c89,1.0,0,0,False
