node_id,node_type,community_id
da318d3a-b476-4d5e-8538-6f3b6e2e9c0d,face,0
a3f5d826-3f14-4e87-a4f0-8462eccfdf43,face,0
b8d5985a-7028-4e19-af85-08af53d9305f,face,0
09f29531-f4e3-4f40-8b00-3f9835030132,face,0
f1a97f9a-cc5b-4246-8f3d-184407d714e7,face,0
c086f961-15d3-4782-82f0-1accd4414a96,face,0
f40a2249-1eb3-4cd9-bdac-3ebec2c2344d,face,0
7c663c1f-da63-48e2-9bd6-96d87d0614ca,face,0
0e9d575a-8109-4f3a-84bb-dc2318c408ad,face,0
eaf23b2e-8078-40a5-b657-b1de860581e7,face,0
e31e108e-5d6d-49a8-9843-c14455776493,face,0
82334238-6e1c-4e8f-8aaf-67a74a3302c4,face,0
1c72c26f-228a-4056-97c6-18b322a2471b,face,0
81b89649-72a4-493a-b440-bf24ef642587,face,0
fcf6b480-eda8-417e-afbd-dd621d5254a8,face,0
7e26cf38-5772-4a98-a997-6213c80ec246,face,0
4685921f-1fd0-4738-bb72-5c5cc87a60b4,face,0
ada26993-c63d-4092-8445-7d649d9ca9de,face,0
bf2f532c-e86a-4251-a144-f2fd665e6522,face,0
59337e8c-43a9-4611-b3cc-c422f9e5ca86,face,0
0a4a777f-f6c3-426f-afa4-4a7e402a9f99,face,0
ea4ab94a-35a9-456c-986c-6e7eeb12aeb2,face,0
5d2f6c58-7751-448c-8939-61a21813fec3,face,0
34a5cd18-dc16-4901-b58f-501fffe41860,face,0
4fc93fbc-beb2-4a1b-84ea-3a42d69a3036,face,0
a8742051-ed32-46ab-aa38-88feec81b176,face,0
d3d87580-5933-45cf-afc6-5c29426512e5,face,0
8adf5c4f-d8e9-4ede-a482-4fde5d706256,face,0
a1e9d3fe-17f4-4d78-9616-0d28e3f4394e,face,0
79f2a44c-311a-4803-9bd0-527e597fe236,face,0
ba63a752-d2cc-4466-acc6-10f83d447452,face,0
3ee49f4c-2ad3-483c-8045-5925566a1262,face,0
2249e47d-0a87-40b5-a131-489c30b027ca,face,0
57a40c81-a4f1-4bdb-a675-32539f2f199c,face,0
ae4e6464-e104-4122-9bb9-492c51328523,face,0
0902535a-759f-4729-b1d6-d6239591afda,face,0
9fae5085-b485-4ac2-8e6a-ded83781fcf5,face,0
3f1bdf66-aecb-4c2a-a9d6-c5c6f128f159,face,0
668ebdc8-6995-4577-99f4-a5913f83066f,face,0
